date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:43:32	129/129	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Apr%202023%2016:14:39%20GMT	https://janezurevc.name/core/misc/tree-bottom.png	./janezurevc.name/core/misc/tree-bottom/index.png	(from https://janezurevc.name/core/modules/system/css/components/tree-child.module.css?s16r9a)
16:43:33	1270/1270	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2025%20Mar%202018%2012:46:35%20GMT	https://janezurevc.name/themes/custom/janezurevc_name/images/logo_icon.svg	./janezurevc.name/themes/custom/janezurevc_name/images/logo_icon/index.svg	(from https://janezurevc.name/themes/custom/janezurevc_name/theme.css?s16r9a)
16:43:34	966/966	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2025%20Mar%202018%2012:46:35%20GMT	https://janezurevc.name/themes/custom/janezurevc_name/images/date.svg	./janezurevc.name/themes/custom/janezurevc_name/images/date/index.svg	(from https://janezurevc.name/themes/custom/janezurevc_name/theme.css?s16r9a)
16:43:35	721/721	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2025%20Mar%202018%2012:46:35%20GMT	https://janezurevc.name/themes/custom/janezurevc_name/images/comments.svg	./janezurevc.name/themes/custom/janezurevc_name/images/comments/index.svg	(from https://janezurevc.name/themes/custom/janezurevc_name/theme.css?s16r9a)
16:43:36	557/557	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2025%20Mar%202018%2012:46:35%20GMT	https://janezurevc.name/themes/custom/janezurevc_name/images/hr_line.svg	./janezurevc.name/themes/custom/janezurevc_name/images/hr_line/index.svg	(from https://janezurevc.name/themes/custom/janezurevc_name/theme.css?s16r9a)
16:43:37	527/527	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2025%20Mar%202018%2012:46:35%20GMT	https://janezurevc.name/themes/custom/janezurevc_name/images/list_item.svg	./janezurevc.name/themes/custom/janezurevc_name/images/list_item/index.svg	(from https://janezurevc.name/themes/custom/janezurevc_name/theme.css?s16r9a)
16:43:38	362/362	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Nov%202023%2015:43:38%20GMT	https://janezurevc.name/node/2	./janezurevc.name/node/2/index.html	(from https://janezurevc.name/about)
16:43:39	76852/76852	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Mar%202018%2013:04:45%20GMT	https://janezurevc.name/sites/default/files/janez_dublin.jpg	./janezurevc.name/sites/default/files/janez_dublin/index.jpg	(from https://janezurevc.name/about)
16:43:41	14469/14469	---MCZ	200	added ('OK')	text/html	etag:%221699890220%22	http://janezurevc.name/slovenskenovicesi-biggest-slovenian-drupal-site	./janezurevc.name/slovenskenovicesi-biggest-slovenian-drupal-site/index.html	(from https://janezurevc.name/about)
16:43:53	117068/117068	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2018%20Sep%202023%2016:10:59%20GMT	https://janezurevc.name/sites/default/files/js/js_IO4KOEijyYB18JzKOuxtx9alFJR6jOUQFqgGmjdTR6E.js	./janezurevc.name/sites/default/files/js/js_IO4KOEijyYB18JzKOuxtx9alFJR6jOUQFqgGmjdTR6E/index.js	(from https://janezurevc.name/about)
